student_country,days_on_platform,minutes_watched,courses_started,practice_exams_started,practice_exams_passed,minutes_spent_on_exams,purchased
2943,138.0,267,11.9,1,0,0,0.0,0
2944,162.0,267,11.9,1,0,0,0.0,0
2945,71.0,267,0.7,1,0,0,0.0,0
2946,137.0,0,5.1,1,0,0,0.0,1
2947,122.0,267,47.8,1,0,0,0.0,0
2948,56.0,267,4.9,1,0,0,0.0,0
2949,39.0,0,0.3,1,0,0,0.0,1
2950,112.0,267,0.8,1,0,0,0.0,0
2951,60.0,267,3.9,1,0,0,0.0,0
2952,137.0,1,39.9,1,0,0,0.0,1
2953,86.0,267,53.8,1,0,0,0.0,0
2954,79.0,267,0.1,1,0,0,0.0,0
2955,48.0,267,15.6,1,0,0,0.0,0
2956,157.0,0,8.2,1,0,0,0.0,1
2957,157.0,0,0.7,1,0,0,0.0,1
2958,39.0,267,8.6,1,0,0,0.0,0
2959,157.0,267,1.0,1,0,0,0.0,0
2960,27.0,14,144.0,1,0,0,0.0,1
2961,157.0,267,52.6,1,0,0,0.0,0
2962,131.0,267,0.5,1,0,0,0.0,0
2963,27.0,267,2.5,1,0,0,0.0,0
2964,120.0,267,0.5,1,0,0,0.0,0
2965,151.0,0,12.4,1,0,0,0.0,1
2966,112.0,267,9.5,1,0,0,0.0,0
2967,166.0,267,26.3,1,0,0,0.0,0
2968,39.0,0,6.8,1,0,0,0.0,1
2969,21.0,50,10.0,1,0,0,0.0,1
2971,37.0,1,51.4,1,0,0,0.0,1
2972,21.0,267,0.5,1,0,0,0.0,0
2973,39.0,267,15.6,2,0,0,0.0,0
2975,157.0,267,28.9,1,0,0,0.0,0
2976,53.0,266,20.2,1,0,0,0.0,0
2977,157.0,5,66.4,2,0,0,0.0,1
2978,112.0,121,1.5,1,0,0,0.0,1
2979,109.0,266,5.5,1,0,0,0.0,0
2980,157.0,266,5.8,1,0,0,0.0,0
2981,150.0,266,8.0,1,0,0,0.0,0
2982,157.0,266,25.7,2,0,0,0.0,0
2983,71.0,266,26.8,1,0,0,0.0,0
2984,166.0,266,61.4,1,0,0,0.0,0
2985,123.0,266,0.9,1,0,0,0.0,0
2986,81.0,0,3.9,1,0,0,0.0,1
2987,71.0,266,43.7,1,0,0,0.0,0
2989,124.0,266,46.1,1,0,0,0.0,0
2990,151.0,266,2.0,1,0,0,0.0,0
2991,157.0,266,0.4,1,0,0,0.0,0
2992,71.0,266,63.7,1,0,0,0.0,0
2993,116.0,266,0.2,1,0,0,0.0,0
2994,47.0,266,54.1,1,0,0,0.0,0
2995,47.0,266,0.2,1,0,0,0.0,0
2996,71.0,266,19.6,1,0,0,0.0,0
2997,71.0,266,0.5,1,0,0,0.0,0
2998,39.0,266,4.7,1,0,0,0.0,0
2999,47.0,266,0.4,1,0,0,0.0,0
3000,150.0,266,0.9,1,0,0,0.0,0
3001,21.0,266,0.5,1,0,0,0.0,0
3002,112.0,266,10.2,1,0,0,0.0,0
3003,47.0,266,66.8,1,0,0,0.0,0
3004,0.0,266,6.5,1,0,0,0.0,0
3006,71.0,39,7.6,2,0,0,0.0,1
3007,71.0,266,0.7,1,0,0,0.0,0
3008,27.0,0,23.8,1,0,0,0.0,1
3009,71.0,266,1.0,1,0,0,0.0,0
3010,166.0,266,0.3,1,0,0,0.0,0
3011,150.0,266,8.7,1,0,0,0.0,0
3012,112.0,0,9.8,1,0,0,0.0,1
3013,39.0,266,63.7,2,0,0,0.0,0
3014,54.0,266,0.1,1,0,0,0.0,0
3015,124.0,266,2.8,1,0,0,0.0,0
3016,157.0,0,1.3,1,0,0,0.0,1
3017,71.0,266,0.1,1,0,0,0.0,0
3018,67.0,266,6.2,1,0,0,0.0,0
3019,157.0,0,39.5,1,0,0,0.0,1
3020,54.0,0,11.9,1,0,0,0.0,1
3021,44.0,266,18.7,1,0,0,0.0,0
3022,157.0,1,54.8,2,0,0,0.0,1
3024,34.0,265,1.7,1,0,0,0.0,0
3025,165.0,265,13.1,1,0,0,0.0,0
3026,71.0,265,21.7,1,0,0,0.0,0
3027,12.0,265,0.3,1,0,0,0.0,0
3028,7.0,265,11.1,1,0,0,0.0,0
3029,79.0,0,122.0,1,0,0,0.0,1
3030,71.0,265,15.1,1,0,0,0.0,0
3031,157.0,20,89.1,2,0,0,0.0,1
3032,157.0,265,8.4,1,0,0,0.0,0
3033,71.0,265,0.1,1,0,0,0.0,0
3034,157.0,265,75.1,1,0,0,0.0,0
3035,71.0,265,0.1,1,0,0,0.0,0
3036,52.0,0,133.6,1,0,0,0.0,1
3037,69.0,0,6.5,1,0,0,0.0,1
3038,157.0,0,22.2,1,0,0,0.0,1
3039,71.0,265,78.2,1,0,0,0.0,0
3040,112.0,265,16.3,1,0,0,0.0,0
3041,56.0,14,216.2,1,0,0,0.0,1
3043,112.0,265,3.9,1,0,0,0.0,0
3044,112.0,265,26.7,1,0,0,0.0,0
3045,112.0,265,0.1,1,0,0,0.0,0
3046,68.0,265,0.1,1,0,0,0.0,0
3047,112.0,265,1.0,1,0,0,0.0,0
3048,87.0,265,5.1,1,0,0,0.0,0
3049,71.0,265,19.3,1,0,0,0.0,0
3050,71.0,265,9.6,2,0,0,0.0,0
3051,165.0,265,51.5,2,0,0,0.0,0
3052,71.0,265,31.6,1,0,0,0.0,0
3053,71.0,265,3.2,1,0,0,0.0,0
3054,71.0,265,0.2,1,0,0,0.0,0
3055,71.0,265,0.2,1,0,0,0.0,0
3056,135.0,265,10.9,1,0,0,0.0,0
3057,71.0,265,10.4,1,0,0,0.0,0
3058,54.0,265,4.9,1,0,0,0.0,0
3059,157.0,265,0.3,1,0,0,0.0,0
3060,21.0,265,1.5,1,0,0,0.0,0
3061,123.0,265,1.2,1,0,0,0.0,0
3062,71.0,265,0.7,1,0,0,0.0,0
3063,71.0,265,2.8,1,0,0,0.0,0
3064,47.0,265,0.9,1,0,0,0.0,0
3065,162.0,265,3.5,2,0,0,0.0,0
3066,157.0,13,57.7,1,0,0,0.0,1
3067,112.0,265,4.8,1,0,0,0.0,0
3068,112.0,265,57.1,1,0,0,0.0,0
3069,157.0,265,20.0,1,0,0,0.0,0
3070,109.0,265,2.5,1,0,0,0.0,0
3071,44.0,265,42.9,1,0,0,0.0,0
3072,112.0,265,0.3,1,0,0,0.0,0
3073,157.0,265,37.1,1,0,0,0.0,0
3074,47.0,265,0.5,1,0,0,0.0,0
3075,157.0,265,0.1,1,0,0,0.0,0
3076,131.0,265,10.9,1,0,0,0.0,0
3077,126.0,264,2.8,2,0,0,0.0,0
3078,35.0,4,177.6,1,0,0,0.0,1
3079,71.0,264,3.4,2,0,0,0.0,0
3080,109.0,264,33.4,1,0,0,0.0,0
3081,157.0,264,41.5,1,0,0,0.0,0
3082,71.0,264,2.2,1,0,0,0.0,0
3083,0.0,264,0.4,1,0,0,0.0,0
3084,71.0,264,0.5,1,0,0,0.0,0
3085,162.0,264,0.4,1,0,0,0.0,0
3086,71.0,264,1.1,1,0,0,0.0,0
3087,116.0,264,0.9,1,0,0,0.0,0
3088,71.0,264,29.3,1,0,0,0.0,0
3089,71.0,264,3.4,1,0,0,0.0,0
3090,94.0,264,1.7,1,0,0,0.0,0
3091,86.0,264,1.2,1,0,0,0.0,0
3092,123.0,264,1.5,1,0,0,0.0,0
3093,47.0,264,5.4,1,0,0,0.0,0
3095,123.0,264,61.0,1,0,0,0.0,0
3096,68.0,264,91.4,1,0,0,0.0,0
3097,71.0,264,59.8,1,0,0,0.0,0
3098,71.0,264,3.9,1,0,0,0.0,0
3099,148.0,264,1.2,1,0,0,0.0,0
3100,71.0,264,4.7,1,0,0,0.0,0
3101,71.0,264,1.4,1,0,0,0.0,0
3102,136.0,264,11.5,1,0,0,0.0,0
3103,21.0,264,6.4,1,0,0,0.0,0
3104,150.0,264,0.2,1,0,0,0.0,0
3105,129.0,264,57.3,1,0,0,0.0,0
3106,39.0,264,45.0,1,0,0,0.0,0
3107,157.0,264,64.0,1,0,0,0.0,0
3108,71.0,264,0.1,1,0,0,0.0,0
3109,71.0,264,75.6,1,0,0,0.0,0
3110,118.0,264,0.6,1,0,0,0.0,0
3111,71.0,264,32.2,1,0,0,0.0,0
3112,112.0,2,140.4,1,0,0,0.0,1
3113,13.0,264,109.4,1,0,0,0.0,0
3114,30.0,264,3.0,1,0,0,0.0,0
3115,21.0,264,1.5,1,0,0,0.0,0
3116,157.0,263,44.5,1,0,0,0.0,0
3117,122.0,263,6.1,1,0,0,0.0,0
3118,123.0,263,1.0,1,0,0,0.0,0
3119,71.0,263,75.5,1,0,0,0.0,0
3120,157.0,263,6.5,1,0,0,0.0,0
3121,132.0,263,10.4,1,0,0,0.0,0
3122,71.0,263,0.8,1,0,0,0.0,0
3123,12.0,263,0.3,1,0,0,0.0,0
3124,150.0,263,0.2,1,0,0,0.0,0
3125,134.0,263,0.3,1,0,0,0.0,0
3126,157.0,263,1.2,1,0,0,0.0,0
3127,71.0,263,11.7,1,0,0,0.0,0
3128,157.0,263,16.7,1,0,0,0.0,0
3129,71.0,263,6.2,2,0,0,0.0,0
3130,71.0,263,4.9,1,0,0,0.0,0
3131,71.0,263,27.6,1,0,0,0.0,0
3132,71.0,263,0.2,1,0,0,0.0,0
3133,71.0,263,0.5,1,0,0,0.0,0
3134,68.0,263,3.2,1,0,0,0.0,0
3136,112.0,263,45.7,1,0,0,0.0,0
3137,47.0,263,0.6,1,0,0,0.0,0
3138,123.0,263,2.5,1,0,0,0.0,0
3139,54.0,263,4.0,1,0,0,0.0,0
3140,12.0,263,37.5,1,0,0,0.0,0
3141,54.0,263,1.4,1,0,0,0.0,0
3142,94.0,263,0.8,1,0,0,0.0,0
3143,157.0,263,3.8,1,0,0,0.0,0
3144,47.0,263,3.0,1,0,0,0.0,0
3145,54.0,263,6.8,1,0,0,0.0,0
3146,112.0,263,6.6,1,0,0,0.0,0
3147,157.0,0,167.8,1,0,0,0.0,1
3148,120.0,262,1.2,1,0,0,0.0,0
3149,157.0,262,1.4,2,0,0,0.0,0
3150,36.0,262,6.6,1,0,0,0.0,0
3151,109.0,262,8.8,1,0,0,0.0,0
3152,157.0,262,0.2,1,0,0,0.0,0
3153,27.0,262,1.0,1,0,0,0.0,0
3154,47.0,262,5.1,1,0,0,0.0,0
3155,157.0,262,0.4,1,0,0,0.0,0
3156,35.0,262,1.6,1,0,0,0.0,0
3157,157.0,262,19.0,2,0,0,0.0,0
3158,157.0,262,0.2,1,0,0,0.0,0
3159,54.0,262,41.1,1,0,0,0.0,0
3160,71.0,262,10.2,1,0,0,0.0,0
3161,112.0,262,8.2,1,0,0,0.0,0
3162,9.0,262,0.1,1,0,0,0.0,0
3163,71.0,262,0.4,1,0,0,0.0,0
3164,35.0,262,2.7,1,0,0,0.0,0
3165,136.0,262,0.1,1,0,0,0.0,0
3166,71.0,58,85.4,1,0,0,0.0,1
3167,112.0,262,8.4,2,0,0,0.0,0
3168,157.0,262,0.1,1,0,0,0.0,0
3169,52.0,262,0.7,2,0,0,0.0,0
3170,71.0,262,0.2,1,0,0,0.0,0
3172,71.0,262,14.0,1,0,0,0.0,0
3173,47.0,262,0.3,1,0,0,0.0,0
3174,71.0,262,13.8,1,0,0,0.0,0
3175,90.0,262,4.0,1,0,0,0.0,0
3176,77.0,59,20.4,1,0,0,0.0,1
3177,71.0,262,1.2,1,0,0,0.0,0
3178,71.0,262,78.0,1,0,0,0.0,0
3179,27.0,262,0.1,1,0,0,0.0,0
3180,71.0,262,11.6,1,0,0,0.0,0
3181,71.0,262,54.4,1,0,0,0.0,0
3182,71.0,262,46.0,1,0,0,0.0,0
3183,72.0,262,0.3,1,0,0,0.0,0
3184,44.0,262,4.8,1,0,0,0.0,0
3185,123.0,262,11.7,1,0,0,0.0,0
3186,27.0,262,5.3,1,0,0,0.0,0
3187,47.0,262,6.3,1,0,0,0.0,0
3188,114.0,262,11.7,1,0,0,0.0,0
3189,112.0,262,11.3,1,0,0,0.0,0
3190,39.0,262,20.3,1,0,0,0.0,0
3191,150.0,262,0.2,1,0,0,0.0,0
3192,114.0,262,0.2,1,0,0,0.0,0
3193,151.0,262,9.1,2,0,0,0.0,0
3194,91.0,262,0.4,1,0,0,0.0,0
3195,157.0,1,27.3,1,0,0,0.0,1
3196,157.0,262,0.3,1,0,0,0.0,0
3197,151.0,262,0.2,1,0,0,0.0,0
3198,157.0,261,14.7,1,0,0,0.0,0
3199,79.0,261,1.4,1,0,0,0.0,0
3200,157.0,0,114.4,1,0,0,0.0,1
3201,71.0,261,0.2,1,0,0,0.0,0
3202,155.0,261,0.2,1,0,0,0.0,0
3203,122.0,261,64.8,1,0,0,0.0,0
3204,70.0,49,16.7,2,0,0,0.0,1
3205,7.0,261,8.9,1,0,0,0.0,0
3206,49.0,261,9.6,1,0,0,0.0,0
3207,71.0,261,19.7,1,0,0,0.0,0
3208,27.0,261,4.3,1,0,0,0.0,0
3209,71.0,261,1.8,1,0,0,0.0,0
3210,114.0,261,0.8,1,0,0,0.0,0
3211,71.0,37,0.6,1,0,0,0.0,1
3212,12.0,261,2.1,1,0,0,0.0,0
3213,54.0,261,6.2,1,0,0,0.0,0
3214,4.0,261,5.7,1,0,0,0.0,0
3215,71.0,261,30.4,1,0,0,0.0,0
3216,71.0,261,8.0,2,0,0,0.0,0
3218,126.0,261,1.0,1,0,0,0.0,0
3219,114.0,261,5.3,1,0,0,0.0,0
3221,60.0,261,1.0,1,0,0,0.0,0
3222,112.0,261,1.2,1,0,0,0.0,0
3223,112.0,261,1.4,1,0,0,0.0,0
3224,79.0,261,1.6,1,0,0,0.0,0
3225,57.0,261,0.2,1,0,0,0.0,0
3226,157.0,71,58.8,1,0,0,0.0,1
3227,157.0,261,40.9,1,0,0,0.0,0
3228,132.0,261,1.3,1,0,0,0.0,0
3229,47.0,261,1.5,1,0,0,0.0,0
3230,157.0,18,41.2,1,0,0,0.0,1
3231,71.0,261,2.6,1,0,0,0.0,0
3232,108.0,261,0.1,1,0,0,0.0,0
3233,54.0,0,9.5,1,0,0,0.0,1
3234,124.0,261,42.9,1,0,0,0.0,0
3235,168.0,261,0.1,1,0,0,0.0,0
3236,5.0,261,37.9,1,0,0,0.0,0
3237,87.0,261,62.1,1,0,0,0.0,0
3238,151.0,261,83.8,2,0,0,0.0,0
3239,54.0,0,1.4,1,0,0,0.0,1
3240,79.0,261,13.2,1,0,0,0.0,0
3241,157.0,261,6.0,1,0,0,0.0,0
3242,69.0,261,1.1,1,0,0,0.0,0
3243,71.0,261,3.8,1,0,0,0.0,0
3244,157.0,261,295.6,2,0,0,0.0,0
3245,162.0,260,6.7,1,0,0,0.0,0
3246,157.0,260,2.3,1,0,0,0.0,0
3247,33.0,260,0.4,1,0,0,0.0,0
3248,71.0,260,9.2,1,0,0,0.0,0
3249,12.0,260,44.0,1,0,0,0.0,0
3250,2.0,260,43.2,1,0,0,0.0,0
3251,71.0,260,1.0,1,0,0,0.0,0
3252,79.0,260,6.5,1,0,0,0.0,0
3253,21.0,260,0.5,1,0,0,0.0,0
3254,151.0,260,2.8,1,0,0,0.0,0
3255,94.0,260,0.4,1,0,0,0.0,0
3256,0.0,260,0.9,1,0,0,0.0,0
3257,71.0,260,1.0,1,0,0,0.0,0
3258,71.0,260,8.8,2,0,0,0.0,0
3259,112.0,260,1.6,1,0,0,0.0,0
3260,123.0,260,6.5,2,0,0,0.0,0
3261,71.0,260,0.1,1,0,0,0.0,0
3262,71.0,260,8.6,1,0,0,0.0,0
3263,166.0,260,0.7,1,0,0,0.0,0
3264,54.0,260,21.2,1,0,0,0.0,0
3265,63.0,260,0.2,1,0,0,0.0,0
3266,71.0,260,0.3,1,0,0,0.0,0
3267,112.0,260,2.5,1,0,0,0.0,0
3268,32.0,260,56.7,1,0,0,0.0,0
3269,157.0,260,25.5,1,0,0,0.0,0
3270,157.0,260,2.0,1,0,0,0.0,0
3271,112.0,260,28.1,1,0,0,0.0,0
3272,50.0,260,8.2,1,0,0,0.0,0
3273,81.0,260,52.9,1,0,0,0.0,0
3274,71.0,260,33.0,1,0,0,0.0,0
3276,157.0,260,10.5,1,0,0,0.0,0
3277,141.0,260,0.4,1,0,0,0.0,0
3278,116.0,260,0.1,1,0,0,0.0,0
3279,71.0,260,0.2,1,0,0,0.0,0
3280,118.0,260,13.1,1,0,0,0.0,0
3281,27.0,260,9.0,2,0,0,0.0,0
3282,157.0,260,6.6,1,0,0,0.0,0
3284,39.0,260,13.7,1,0,0,0.0,0
3285,54.0,260,0.3,1,0,0,0.0,0
3286,21.0,260,2.9,1,0,0,0.0,0
3287,116.0,260,15.7,1,0,0,0.0,0
3288,94.0,260,29.3,1,0,0,0.0,0
3289,71.0,260,6.3,1,0,0,0.0,0
3290,157.0,56,21.8,1,0,0,0.0,1
3291,109.0,260,1.3,1,0,0,0.0,0
3292,157.0,260,70.2,1,0,0,0.0,0
3293,127.0,260,0.9,1,0,0,0.0,0
3294,157.0,260,28.9,1,0,0,0.0,0
3295,68.0,260,5.1,1,0,0,0.0,0
3296,157.0,260,3.2,2,0,0,0.0,0
3297,157.0,259,0.1,1,0,0,0.0,0
3298,157.0,259,1.3,1,0,0,0.0,0
3299,47.0,259,6.6,1,0,0,0.0,0
3300,11.0,259,2.6,1,0,0,0.0,0
3301,157.0,259,1.2,1,0,0,0.0,0
3302,7.0,19,40.5,1,0,0,0.0,1
3303,157.0,0,17.3,1,0,0,0.0,1
3304,68.0,259,1.1,1,0,0,0.0,0
3306,71.0,259,7.4,1,0,0,0.0,0
3307,157.0,259,6.2,1,0,0,0.0,0
3308,49.0,259,14.0,1,0,0,0.0,0
3309,71.0,259,7.2,1,0,0,0.0,0
3310,123.0,259,0.1,1,0,0,0.0,0
3311,71.0,259,18.1,1,0,0,0.0,0
3312,157.0,259,1.7,1,0,0,0.0,0
3313,71.0,259,4.2,1,0,0,0.0,0
3314,71.0,259,68.5,1,0,0,0.0,0
3315,157.0,259,6.8,1,0,0,0.0,0
3316,79.0,259,9.3,1,0,0,0.0,0
3317,47.0,259,53.6,1,0,0,0.0,0
3319,151.0,259,3.1,1,0,0,0.0,0
3320,84.0,11,108.9,1,0,0,0.0,1
3321,157.0,259,26.5,1,0,0,0.0,0
3322,27.0,1,159.7,1,0,0,0.0,1
3323,157.0,259,1.3,1,0,0,0.0,0
3324,71.0,259,2.5,1,0,0,0.0,0
3325,68.0,259,5.3,1,0,0,0.0,0
3326,151.0,259,51.9,1,0,0,0.0,0
3327,57.0,259,2.9,1,0,0,0.0,0
3328,157.0,0,41.7,1,0,0,0.0,1
3329,76.0,259,1.1,1,0,0,0.0,0
3330,71.0,259,0.1,1,0,0,0.0,0
3331,93.0,259,5.1,1,0,0,0.0,0
3332,68.0,259,9.9,1,0,0,0.0,0
3333,112.0,259,7.1,1,0,0,0.0,0
3334,157.0,82,6.6,2,0,0,0.0,1
3335,25.0,259,6.6,1,0,0,0.0,0
3336,7.0,259,1.4,1,0,0,0.0,0
3337,71.0,259,0.1,1,0,0,0.0,0
3338,112.0,259,32.7,2,0,0,0.0,0
3339,83.0,259,2.7,1,0,0,0.0,0
3340,21.0,259,5.1,1,0,0,0.0,0
3341,71.0,259,0.1,1,0,0,0.0,0
3342,49.0,259,4.2,1,0,0,0.0,0
3343,52.0,259,0.8,1,0,0,0.0,0
3344,71.0,259,57.3,1,0,0,0.0,0
3345,54.0,259,18.6,1,0,0,0.0,0
3346,71.0,259,1.4,1,0,0,0.0,0
3347,79.0,259,2.1,1,0,0,0.0,0
3348,132.0,259,0.1,1,0,0,0.0,0
3349,157.0,259,16.3,1,0,0,0.0,0
3350,71.0,259,0.3,1,0,0,0.0,0
3351,71.0,259,1.2,1,0,0,0.0,0
3352,112.0,259,37.3,1,0,0,0.0,0
3353,32.0,259,84.4,1,0,0,0.0,0
3354,134.0,259,5.3,1,0,0,0.0,0
3355,35.0,259,5.0,1,0,0,0.0,0
3356,122.0,259,0.4,1,0,0,0.0,0
3357,134.0,259,39.8,1,0,0,0.0,0
3358,108.0,259,7.3,1,0,0,0.0,0
3359,157.0,259,3.0,1,0,0,0.0,0
3360,71.0,259,42.9,1,0,0,0.0,0
3361,157.0,259,18.8,1,0,0,0.0,0
3362,71.0,259,0.1,1,0,0,0.0,0
3363,71.0,259,57.5,2,0,0,0.0,0
3364,157.0,259,24.7,1,0,0,0.0,0
3365,12.0,259,10.5,1,0,0,0.0,0
3366,134.0,259,6.0,1,0,0,0.0,0
3367,12.0,259,2.3,1,0,0,0.0,0
3368,12.0,259,5.5,1,0,0,0.0,0
3369,157.0,259,1.7,1,0,0,0.0,0
3370,112.0,27,113.0,1,0,0,0.0,1
3371,115.0,259,47.9,1,0,0,0.0,0
3372,52.0,259,0.2,1,0,0,0.0,0
3374,35.0,7,49.4,1,0,0,0.0,1
3375,12.0,259,2.6,1,0,0,0.0,0
3376,157.0,259,9.2,1,0,0,0.0,0
3377,54.0,259,6.8,1,0,0,0.0,0
3378,108.0,0,1.2,1,0,0,0.0,1
3379,68.0,258,0.2,1,0,0,0.0,0
3380,12.0,258,67.7,1,0,0,0.0,0
3381,112.0,258,49.5,2,0,0,0.0,0
3382,157.0,2,68.3,1,0,0,0.0,1
3383,122.0,258,32.2,1,0,0,0.0,0
3384,157.0,0,36.3,1,0,0,0.0,1
3385,47.0,258,1.7,1,0,0,0.0,0
3386,157.0,258,8.1,2,0,0,0.0,0
3387,71.0,258,0.1,1,0,0,0.0,0
3388,71.0,258,2.9,1,0,0,0.0,0
3389,71.0,258,0.1,1,0,0,0.0,0
3390,130.0,258,5.2,2,0,0,0.0,0
3391,79.0,258,25.3,1,0,0,0.0,0
3392,136.0,2,12.2,1,0,0,0.0,1
3393,39.0,258,19.2,2,0,0,0.0,0
3394,71.0,258,143.0,1,0,0,0.0,0
3395,109.0,258,6.8,1,0,0,0.0,0
3396,112.0,258,9.4,1,0,0,0.0,0
3397,151.0,258,0.7,1,0,0,0.0,0
3398,122.0,258,1.2,1,0,0,0.0,0
3399,112.0,258,0.1,1,0,0,0.0,0
3400,47.0,258,0.9,1,0,0,0.0,0
3401,21.0,258,10.5,1,0,0,0.0,0
3402,48.0,0,29.0,1,0,0,0.0,1
3403,109.0,258,12.8,1,0,0,0.0,0
3404,47.0,258,0.6,1,0,0,0.0,0
3405,48.0,1,90.2,1,0,0,0.0,1
3406,27.0,2,210.2,1,0,0,0.0,1
3407,39.0,258,24.7,1,0,0,0.0,0
3408,71.0,258,71.7,1,0,0,0.0,0
3409,71.0,258,2.0,1,0,0,0.0,0
3410,157.0,0,55.9,1,0,0,0.0,1
3411,50.0,258,64.1,1,0,0,0.0,0
3412,27.0,258,4.0,1,0,0,0.0,0
3413,54.0,258,10.1,1,0,0,0.0,0
3414,47.0,258,4.4,1,0,0,0.0,0
3415,151.0,258,1.2,1,0,0,0.0,0
3416,60.0,258,73.9,1,0,0,0.0,0
3417,112.0,258,29.0,1,0,0,0.0,0
3418,112.0,258,0.2,1,0,0,0.0,0
3419,71.0,258,0.1,1,0,0,0.0,0
3420,68.0,258,18.6,1,0,0,0.0,0
3421,71.0,258,1.8,1,0,0,0.0,0
3422,140.0,258,0.1,1,0,0,0.0,0
3423,151.0,258,7.3,1,0,0,0.0,0
3424,142.0,258,1.6,1,0,0,0.0,0
3426,157.0,2,39.7,1,0,0,0.0,1
3427,114.0,258,5.7,2,0,0,0.0,0
3428,54.0,0,112.4,1,0,0,0.0,1
3430,166.0,258,58.9,1,0,0,0.0,0
3431,12.0,258,6.3,1,0,0,0.0,0
3432,137.0,258,0.5,1,0,0,0.0,0
3433,47.0,258,12.3,1,0,0,0.0,0
3434,79.0,258,40.1,1,0,0,0.0,0
3435,54.0,258,0.8,1,0,0,0.0,0
3436,151.0,258,1.2,1,0,0,0.0,0
3437,68.0,258,4.6,1,0,0,0.0,0
3438,157.0,258,71.6,1,0,0,0.0,0
3439,47.0,258,0.7,1,0,0,0.0,0
3440,2.0,258,1.4,1,0,0,0.0,0
3441,157.0,258,11.0,1,0,0,0.0,0
3442,112.0,258,0.9,1,0,0,0.0,0
3443,151.0,258,0.4,1,0,0,0.0,0
3444,47.0,257,50.3,1,0,0,0.0,0
3446,157.0,257,84.9,1,0,0,0.0,0
3447,77.0,257,1.1,1,0,0,0.0,0
3448,47.0,257,4.5,1,0,0,0.0,0
3449,162.0,257,33.8,1,0,0,0.0,0
3450,71.0,257,98.7,2,0,0,0.0,0
3451,122.0,257,42.5,1,0,0,0.0,0
3452,122.0,15,99.7,1,0,0,0.0,1
3453,71.0,257,0.6,1,0,0,0.0,0
3454,122.0,257,53.9,1,0,0,0.0,0
3455,157.0,257,1.6,1,0,0,0.0,0
3456,112.0,257,64.1,1,0,0,0.0,0
3457,157.0,257,6.5,1,0,0,0.0,0
3458,71.0,257,1.6,1,0,0,0.0,0
3459,135.0,257,2.4,1,0,0,0.0,0
3460,71.0,4,45.3,1,0,0,0.0,1
3461,120.0,257,6.6,1,0,0,0.0,0
3462,46.0,257,33.2,1,0,0,0.0,0
3463,79.0,257,13.7,1,0,0,0.0,0
3464,71.0,257,12.2,2,0,0,0.0,0
3465,132.0,257,0.5,1,0,0,0.0,0
3466,49.0,257,0.4,1,0,0,0.0,0
3467,150.0,257,0.5,1,0,0,0.0,0
3468,54.0,2,57.0,2,0,0,0.0,1
3470,112.0,257,0.3,1,0,0,0.0,0
3471,52.0,257,43.9,1,0,0,0.0,0
3472,71.0,257,61.5,1,0,0,0.0,0
3473,12.0,0,9.5,1,0,0,0.0,1
3474,71.0,257,9.4,1,0,0,0.0,0
3475,157.0,0,44.6,1,0,0,0.0,1
3476,27.0,257,1.2,1,0,0,0.0,0
3477,71.0,257,1.3,1,0,0,0.0,0
3478,84.0,45,30.8,1,0,0,0.0,1
3479,134.0,257,0.4,1,0,0,0.0,0
3480,47.0,257,1.4,1,0,0,0.0,0
3481,112.0,257,4.2,1,0,0,0.0,0
3482,112.0,257,7.0,1,0,0,0.0,0
3483,0.0,257,8.2,1,0,0,0.0,0
3484,71.0,257,0.2,1,0,0,0.0,0
3485,71.0,257,0.2,1,0,0,0.0,0
3486,71.0,257,1.3,1,0,0,0.0,0
3487,47.0,257,0.4,1,0,0,0.0,0
3488,79.0,257,48.1,1,0,0,0.0,0
3489,54.0,0,0.7,1,0,0,0.0,1
3490,153.0,257,2.4,1,0,0,0.0,0
3491,157.0,257,0.6,1,0,0,0.0,0
3493,71.0,257,3.0,1,0,0,0.0,0
3494,52.0,257,1.1,1,0,0,0.0,0
3495,71.0,256,56.6,1,0,0,0.0,0
3496,12.0,256,0.3,1,0,0,0.0,0
3497,12.0,256,1.4,1,0,0,0.0,0
3498,157.0,256,39.4,1,0,0,0.0,0
3499,117.0,256,64.1,1,0,0,0.0,0
3500,157.0,256,2.4,1,0,0,0.0,0
3501,71.0,256,1.6,1,0,0,0.0,0
3502,71.0,256,2.0,1,0,0,0.0,0
3503,71.0,256,0.6,1,0,0,0.0,0
3504,12.0,256,0.4,1,0,0,0.0,0
3506,39.0,256,34.7,1,0,0,0.0,0
3507,117.0,0,120.2,1,0,0,0.0,1
3508,71.0,256,55.9,1,0,0,0.0,0
3509,71.0,256,0.6,1,0,0,0.0,0
3510,63.0,0,149.2,1,0,0,0.0,1
3511,157.0,256,1.2,1,0,0,0.0,0
3512,9.0,256,0.1,1,0,0,0.0,0
3513,9.0,256,0.4,1,0,0,0.0,0
3514,12.0,256,1.4,1,0,0,0.0,0
3515,71.0,256,2.8,1,0,0,0.0,0
3516,134.0,256,7.4,1,0,0,0.0,0
3517,54.0,256,1.9,1,0,0,0.0,0
3518,151.0,256,0.1,1,0,0,0.0,0
3519,7.0,256,18.1,2,0,0,0.0,0
3520,116.0,256,32.3,1,0,0,0.0,0
3521,71.0,256,0.2,1,0,0,0.0,0
